japanese,pronounce,english
予約,よやく,"① reservation, appointment, booking, advance order ② contract, subscription, pledge"
踊り,おどり,dance
利用,りよう,"use, utilization, utilisation, application"
裏,うら,"① bottom (or another side that is hidden from view), undersurface, opposite side, reverse side ② rear, back, behind (the house) ③ lining, inside ④ out of sight, behind the scenes ⑤ proof ⑥ opposite (of a prediction, common sense, etc.) ⑦ inverse (of a hypothesis, etc.) ⑧ bottom (of an inning), last half (of an inning)"
冷える,ひえる,"to grow cold, to get chilly, to cool down"
歴史,れきし,history
連れる,つれる,"to lead, to take (a person)"
連絡,れんらく,"① to contact, to get in touch ② contacting, getting in touch, communication, call, message ③ connection, coordination, junction ④ intercalary, intercalaris, internuncial"
腕,うで,① arm ② skill
途中,とちゅう,"① on the way, en route ② in the middle of, midway"
包む,つつむ,"① to wrap up, to tuck in, to pack, to do up, to cover with, to dress in ② to conceal, to hide, to be engulfed in, to be enveloped by"
頂く,いただく,"① to receive, to get, to accept, to take, to buy ② to eat, to drink ③ to be crowned with, to wear (on one's head), to have (on top) ④ to have (as one's leader), to live under (a ruler), to install (a president)"
受付,うけつけ,"reception (desk), information desk"
贈り物,おくりもの,"present, gift"
遅れる,おくれる,"to be late, to be delayed, to fall behind schedule, to be overdue"
格好,かっこう,"① shape, form, posture, appearance, manner ② suitability, moderateness (in price)"
込む,こむ,"① to be crowded, to be packed ② to be complex ③ to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly ④ to do intently ⑤ to continue in the same state"
怖い,こわい,"① scary, frightening, eerie, dreadful ② (I'm) afraid"
ご存じ,ごぞんじ,① knowing ② (an) acquaintance
探す,さがす,"to search (for something desired, needed), to look for"
捕まえる,つかまえる,"to catch, to arrest, to seize"
泥棒,どろぼう,"thief, burglar, robber, theft"
治る,なおる,"to be cured, to get well, to be healed"
値段,ねだん,"price, cost"
乗り換える,のりかえる,"to transfer (trains), to change (bus, train)"
増える,ふえる,"to increase, to multiply"
舟,ふね,"① ship, boat, watercraft, vessel, steamship ② tank, tub, vat, trough ③ counter for boat-shaped containers (e.g. of sashimi)"
周り,まわり,"① circumference, perimeter, edge ② surroundings, locality, neighborhood ③ rotation, circulation"
見舞い,みまい,"① visiting ill or distressed people, writing get-well letters ② get-well gifts, get-well letters ③ expression of sympathy, expression of concern, enquiry, inquiry"
柔らかい,やわらかい,"soft, tender, limp"
沸く,わく,"to grow hot (of water, etc.), to boil"
割合,わりあい,"① rate, ratio, percentage, proportion ② comparatively ③ contrary to expectations"
お祝い,おいわい,"congratulation, congratulations, celebration, festival, congratulatory gift"
お嬢さん,おじょうさん,① daughter ② young lady
挨拶,あいさつ,"① greeting, greetings, salutation, salute ② speech (congratulatory or appreciative), address ③ reply, response ④ a fine thing to say (used as part of a sarcastic response to a rude remark) ⑤ (orig. meaning) dialoging (with another Zen practitioner to ascertain their level of enlightenment)"
為,ため,"① good, advantage, benefit, welfare ② sake, purpose, objective, aim ③ consequence, result, effect ④ affecting, regarding, concerning"
一生懸命,いっしょうけんめい,"very hard, with utmost effort, with all one's might, for dear life"
嘘,うそ,"lie, falsehood, incorrect fact"
壊す,こわす,"① to break, to destroy, to demolish ② to wreck, to ruin, to spoil, to damage ③ to break (a bill, etc.)"
壊れる,こわれる,"① to be broken, to break ② to fall through, to come to nothing"
滑る,すべる,"① to glide, to slide (e.g. on skis), to slip ② to bomb (when telling a joke)"
噛む,かむ,"① to bite, to chew, to gnaw ② to fumble or falter with one's words"
頑張る,がんばる,"to persist, to insist on, to stand firm, to try one's best"
嬉しい,うれしい,"happy, glad, pleasant"
汽車,きしゃ,train (steam)
宜しい,よろしい,"good, OK, all right, fine, very well, will do, may, can"
興味,きょうみ,interest (in something)
驚く,おどろく,"to be surprised, to be astonished"
喧嘩,けんか,"quarrel, brawl, fight, squabble, scuffle"
絹,きぬ,silk
厳しい,きびしい,"① severe, strict, rigid, unsparing, relentless ② stern, austere, grave, solemn, majestic ③ intense (cold)"
故障,こしょう,"break-down, failure, fault, accident, out of order"
講義,こうぎ,lecture
謝る,あやまる,"to apologize, to apologise"
邪魔,じゃま,"hindrance, intrusion"
趣味,しゅみ,"hobby, tastes, preference"
飾る,かざる,"to decorate, to ornament, to adorn"
尋ねる,たずねる,"① to ask, to enquire, to inquire ② to search, to look for, to look into, to investigate"
随分,ずいぶん,"① very, extremely, surprisingly, considerably ② contemptible, reprehensible"
是非,ぜひ,"① certainly, without fail ② right and wrong, pros and cons"
盛ん,さかん,"① popular ② prosperous ③ enthusiastic ④ energetic, vigorous"
先輩,せんぱい,"senior (at work or school), superior, elder, older graduate, progenitor, old-timer"
素晴らしい,すばらしい,"wonderful, splendid, magnificent"
騒ぐ,さわぐ,"① to make noise, to make racket, to be noisy ② to rustle, to swoosh ③ to make merry ④ to clamor, to clamour, to make a fuss, to kick up a fuss ⑤ to lose one's cool, to panic, to act flustered ⑥ to feel tense, to be uneasy, to be excited"
駄目,だめ,"useless, no good, hopeless"
棚,たな,"① shelf, shelves, ledge, rack ② trellis"
暖房,だんぼう,heating
致す,いたす,to do
注射,ちゅうしゃ,injection
丁寧,ていねい,"polite, courteous, careful, care, kind, close, thorough, conscientious"
釣る,つる,to fish
田舎,いなか,"① rural area, countryside, the sticks ② hometown"
踏む,ふむ,"① to step on, to tread on ② to experience, to undergo ③ to estimate, to value, to appraise ④ to rhyme ⑤ to follow (rules, morals, principles, etc.)"
濡れる,ぬれる,to get wet
翻訳,ほんやく,"① translation ② de-encryption, deciphering ③ rendering"
漫画,まんが,"comic, cartoon"
味噌,みそ,"① miso, bean paste ② key (main) point"
揺れる,ゆれる,"to shake, to sway"
冷房,れいぼう,"cooling, air-conditioning"
寂しい,さびしい,"lonely, lonesome, solitary, desolate"
包む,くるむ,"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in"
ご馳走,ごちそう,"① feast, treating (someone) ② to treat (someone, e.g. to a meal)"
辞典,じてん,dictionary
誉める,ほめる,"to praise, to admire, to speak well"
我々,われわれ,we
訳,やく,"translation, version (e.g. ""English version"")"
きっと,きっと,"surely, undoubtedly, almost certainly, most likely (e.g. 90 percent)"
こう,こう,"① in this way (used for something or someone close to the speaker, including the speaker himself, or for the opinions of the speaker), thus, such ② uh... (interjection used as a verbal pause)"
これから,これから,after this
それほど,それほど,"to that degree, extent"
ちっとも,ちっとも,not at all (neg. verb)
やっぱり,やっぱり,"also, as I thought, still, in spite of, absolutely, of course"
やはり,やはり,"also, as I thought, still, in spite of, absolutely, of course"
おかしい,おかしい,"strange, funny, amusing, ridiculous"
いじめる,いじめる,"to tease, to torment, to persecute, to chastise"
おもちゃ,おもちゃ,toy
びっくり,びっくり,"① to be surprised, to be amazed, to be frightened, to be astonished ② surprise (e.g. surprise party) ③ surprise"
ご,ご,"honourable, honorable"
しばらく,しばらく,"① little while, short while, moment, instant ② a while, quite a time ③ it's been a long time"
しまう,しまう,"to finish, to close, to do something completely, to put away, to put an end to"
ごみ,ごみ,"rubbish, trash, garbage, refuse"
すごい,すごい,"① terrible, dreadful ② amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific ③ to a great extent, vast (in numbers)"
つもり,つもり,"① intention, plan ② conviction, belief"
ぶつ,ぶつ,"to hit (a person), to strike, to beat"
とうとう,とうとう,"finally, at last, reaching a head"
はず,はず,"① expectation that something took place, will take place or was in some state, it should be so, bound to be, expected to be, must be ② nock (of a bow) ③ nock (of an arrow) ④ nock-shaped grip (between thumb and forefinger) (Sumo)"
または,または,"or, otherwise"
もらう,もらう,"① to receive, to take, to accept ② to get somebody to do something (follows a verb in ""te"" form)"
わけ,わけ,"conclusion from reasoning, judgement or calculation based on something read or heard, reason, cause, meaning, circumstances, situation"
まま,まま,"① as it is, as one likes, because, as ② condition, state"
しっかり,しっかり,"firmly, tightly, reliable, level-headed, steady"
なかなか,なかなか,"① very, considerably, easily, readily, fairly, quite, highly, rather ② by no means (with negative verb)"
のど,のど,① throat ② singing voice
ひどい,ひどい,"cruel, awful, severe, very bad, serious, terrible, heavy, violent"
痩せる,やせる,"① to become thin, to lose weight, to reduce (one's) weight, to slim ② to be barren, to be infertile, to be sterile"
そうして,そうして,"and, like that"
もうすぐ,もうすぐ,very soon
うっかり,うっかり,"carelessly, thoughtlessly, inadvertently"
お前,おまえ,"① you (masc) (formerly honorific, now sometimes derog. term referring to an equal or inferior) ② presence (of a god, nobleman, etc.)"
がっかり,がっかり,"feel disappointed, dejected, lose heart, feel emotionally drained, feel let down"
きちんと,きちんと,"precisely, accurately, neatly"
きつい,きつい,"① intense, severe, hard ② determined, forceful, formidable ③ strong ④ tight, close"
こっそり,こっそり,"stealthily, secretly"
こんなに,こんなに,"so, like this, in this way"
さっさと,さっさと,quickly
さっぱり,さっぱり,"① feeling refreshed, feeling relieved ② neat, trimmed ③ plain, simple ④ completely, entirely ⑤ not in the least (in sentence with negative verb), not at all ⑥ completely ignorant, not doing at all"
ざっと,ざっと,"roughly, in round numbers"
しつこい,しつこい,"insistent, obstinate"
じっと,じっと,"① motionlessly ② fixedly (e.g. of staring) ③ patiently ④ firmly (e.g. hold), restrained"
ずっと,ずっと,"① continuously in some state (for a long time, distance), throughout, all along, the whole time, all the way ② much (better, etc.), by far, far and away ③ far away, long ago ④ direct, straight"
そっくり,そっくり,"all, altogether, entirely, just like, the spitting image of"
そっと,そっと,"softly, gently, quietly, secretly"
たっぷり,たっぷり,"full, in plenty, ample"
だらけ,だらけ,① implying (negatively) that something is full of (e.g. mistakes) ② covered all over (e.g. with blood)
ちゃんと,ちゃんと,"perfectly, properly, exactly"
どうせ,どうせ,"anyhow, in any case, at any rate, after all, at best, at most, at all"
どっと,どっと,suddenly
どんどん,どんどん,"① drumming (noise) ② rapidly, steadily"
どんなに,どんなに,"how, how much"
のんびり,のんびり,"carefree, at leisure"
ぴったり,ぴったり,"exactly, neatly, sharp"
ぼんやり,ぼんやり,"absent-minded, blockhead, dim, faint, vague"
まあ,まあ,"you might say, Oh!, Wow!, Well!"
オーバー,オーバー,"① overcoat ② over, exceeding, going beyond, exaggeration ③ ball hit over the head of an outfielder (baseball)"
下る,くだる,"① to descend, to go down, to come down ② to be handed down (of an order, judgment, etc.) ③ to pass (of time) ④ to surrender, to capitulate ⑤ (often in neg. form) to be less than, to be inferior to ⑥ to have the runs, to have diarrhea"
何とか,なんとか,"① something, something or other, so-and-so ② somehow, anyhow, one way or another"
何とも,なんとも,"nothing (with neg. verb), quite, not a bit"
火山,かざん,volcano
外す,はずす,"① to unfasten, to undo ② to remove, to take off, to deinstall ③ to leave, to step out, to slip away ④ to miss (a target)"
外れる,はずれる,"to be disconnected, to get out of place, to be off, to be out (e.g. of gear)"
外出,がいしゅつ,"outing, trip, going out"
学ぶ,まなぶ,"to study (in depth), to learn, to take lessons in"
気に入る,きにいる,"to be pleased with, to suit"
金,きん,"① gold, golden (color), metaphor for (most) valuable, gold (medal, cup) ② money (written before an amount) ③ Friday ④ metal (fourth of the five elements) ⑤ Jin (dynasty of China; 1115-1234 CE) ⑥ gold general (shogi) ⑦ karat, carat"
見下ろす,みおろす,"to overlook, to command a view of, to look down on something"
見上げる,みあげる,"to look up at, to raise one's eyes, to admire"
今後,こんご,"from now on, hereafter"
左右,さゆう,"① left and right ② influence, control, domination"
週,しゅう,week
女子,じょし,"woman, girl"
上,じょう,"① from the standpoint of, as a matter of (e.g. fact), in the field of, being of the type of ② aboard (a ship or vehicle), on top of, on, above ③ first volume (e.g. book) ④ superior quality, best, top, high class ⑤ going up ⑥ governmental, imperial ⑦ presenting, showing"
人間,にんげん,"① human being, man, person ② character (of a person)"
人気,にんき,"popularity, popular feeling, business conditions"
人生,じんせい,(human) life (i.e. conception to death)
生える,はえる,"① to grow, to spring up ② to cut (teeth)"
生じる,しょうじる,"① to produce, to yield ② to result from, to arise, to be generated"
先日,せんじつ,"the other day, a few days ago"
大いに,おおいに,"very, much, greatly, a lot of"
大した,たいした,"considerable, great, important, significant, a big deal"
大して,たいして,"(not so) much, (not) very"
大半,たいはん,"majority, mostly, generally"
男子,だんし,"youth, young man"
中学,ちゅうがく,"middle school, junior high school"
長,ちょう,"chief, head"
電子,でんし,"① electron ② (esp. as a prefix) electronic, electronics"
読書,どくしょ,reading
年間,ねんかん,year (period of)
年中,ねんじゅう,"whole year, always, everyday"
半ば,なかば,"middle, half, semi, halfway, partly"
分ける,わける,"to divide, to separate, to make distinctions, to differentiate (between)"
本人,ほんにん,the person himself
本来,ほんらい,"① originally, primarily ② essentially, naturally, by nature, in (and of) itself ③ proper, legal"
名人,めいじん,"master, expert"
友,とも,"friend, companion, pal"
友人,ゆうじん,friend
来,らい,"① next (year, etc.) ② since (last month, etc.)"
一生,いっしょう,"① whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era ② (the only, the greatest, etc.) of one's life"
行き,いき,① bound for ... ② going (to)
年月,としつき,months and years
食う,くう,"① to eat ② to live, to make a living, to survive ③ to bite, to sting (as insects do) ④ to tease, to torment, to taunt, to make light of, to make fun of ⑤ to encroach on, to eat into, to consume ⑥ to defeat a superior, to threaten a position ⑦ to consume time and-or resources ⑧ to have sexual relations with a woman, esp. for the first time"
見つめる,みつめる,"to stare at, to gaze at, to look hard at, to watch intently, to fix one's eyes on"
分かれる,わかれる,"① to branch, to fork, to diverge ② to separate, to split, to divide ③ to disperse, to scatter"
生き生き,いきいき,"vividly, lively"
生まれ,うまれ,"birth, birthplace"
何で,なんで,"① why?, what for? ② how?, by what means?"
中,ちゅう,"① medium, average, middle ② moderation ③ middle school ④ China ⑤ in, out of (e.g. three out of ten people) ⑥ during (a certain time when one did or is doing something), under (construction, etc.), while"
どうか,どうか,"please, somehow or other"
学,がく,"learning, scholarship, erudition, knowledge"
あんなに,あんなに,"to that extent, to that degree"
せっせと,せっせと,"diligently, assiduously"
そんなに,そんなに,"so much, so, like that"
社,しゃ,"① company, association, society ② regional Chinese god of the earth (or a village built in its honour) ③ counter for companies, shrines, etc."
みたい,みたい,"-like, sort of, similar to, resembling"
間,かん,"① interval, period of time ② among, between, inter-"
大,だい,"① the large part of ② big, large, great ③ approximate size, no larger than ④ -university ⑤ large (e.g. serving size), loud (e.g. volume setting)"
生,せい,"① life, living ② I, me, myself"
後,ご,after
名,めい,"① counter for people (usu. seating, reservations and such) ② first name ③ famous, great"
以前,いぜん,"ago, since, before, previous"
以来,いらい,"since, henceforth"
意外,いがい,"unexpected, surprising"
意思,いし,"intention, purpose"
一体,いったい,"① ...the heck (e.g. ""what the heck?""), ...in the world (e.g. ""why in the world?""), ...on earth (e.g. ""who on earth?"") ② one object, one body, unity ③ one form, one style ④ one Buddhist image (or carving, etc.) ⑤ generally, in general"
一方,いっぽう,"① one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party ② on the one hand, on the other hand ③ whereas, although, but at the same time, meanwhile, in turn ④ (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only"
引用,いんよう,"quotation, citation, reference"
運,うん,"fortune, luck"
下がる,さがる,"to hang down, to abate, to retire, to fall, to step back"
家事,かじ,"① housework, domestic chores ② family affairs, household matters"
歌手,かしゅ,singer
花火,はなび,fireworks
画家,がか,"painter, artist"
会員,かいいん,"member, the membership"
会計,かいけい,"account, finance, accountant, treasurer, paymaster, reckoning, bill"
海外,かいがい,"foreign, abroad, overseas"
開始,かいし,"start, commencement, beginning, initiation"
学者,がくしゃ,scholar
学習,がくしゅう,"study, learning, tutorial"
学問,がくもん,"scholarship, study, learning"
楽,らく,"comfort, ease"
起こる,おこる,"to occur, to happen"
牛,うし,"① cattle, cow, ox, oxen ② beef ③ Chinese ""Ox"" constellation (one of the 28 mansions)"
去る,さる,"① to leave, to go away ② to pass, to elapse ③ to be distant ④ to send away, to drive off, to divorce ⑤ (after a -masu stem, esp. of a suru verb) ... completely ⑥ last ... (e.g. ""last April"")"
強力,きょうりょく,"powerful, strong"
見事,みごと,"① splendid, magnificent, beautiful, admirable ② praiseworthy act, feat, commendable deed"
見送る,みおくる,"① to see off (e.g. to the station, an airport, etc.), to escort (e.g. home), to farewell ② to see out, to send off ③ to let pass, to wait and see, to continue (e.g. in legal contexts) ④ to let a pitch go by (baseball), to watch a batted ball go into the stands"
言わば,いわば,"so to speak, so to call it, as it were"
後者,こうしゃ,the latter
公正,こうせい,"justice, fairness, impartiality"
広場,ひろば,plaza
行動,こうどう,"action, conduct, behaviour, behavior, mobilization, mobilisation"
高度,こうど,"① altitude, height ② advanced, high-grade, strong"
国家,こっか,"state, country, nation"
国会,こっかい,"National Diet, parliament, congress"
作家,さっか,"author, writer, novelist, artist"
作業,さぎょう,"work, operation, manufacturing, fatigue duty"
作品,さくひん,"work (e.g. book, film, composition, etc.), opus, performance, production"
使用,しよう,"use, application, employment, utilization, utilisation"
思わず,おもわず,"unintentionally, reflexively, spontaneously, involuntarily, instinctively"
持ち上げる,もちあげる,"to raise, to lift up, to flatter"
自ら,みずから,"for one's self, personally"
自動,じどう,"① automatic, self-motion ② intransitive verb"
室,しつ,"① room ② Chinese ""Encampment"" constellation (one of the 28 mansions)"
質,しつ,quality
借金,しゃっきん,"debt, loan, liabilities"
手間,てま,"time, labour, labor"
手入れ,ていれ,"① repairs, maintenance, tending, trimming, grooming ② crackdown, (police) raid"
重大,じゅうだい,"serious, important, significant, grave, weighty"
出会い,であい,"meeting, rendezvous, encounter"
出来事,できごと,"incident, affair, happening, event"
書店,しょてん,"bookshop, bookstore"
小屋,こや,"hut, cabin, shed, (animal) pen"
上京,じょうきょう,proceeding to the capital (Tokyo)
食品,しょくひん,"commodity, foodstuff"
食料,しょくりょう,food
真っ赤,まっか,"① bright red, deep red, flushed (of face) ② downright (e.g. lie), complete, utter"
親しい,したしい,"intimate, close (e.g. friend)"
親友,しんゆう,"close friend, bosom (old, intimate) friend, buddy, crony, chum"
人工,じんこう,"artificial, manmade, human work, human skill, artificiality"
図,ず,"figure (e.g. Fig 1), drawing, picture, illustration"
世の中,よのなか,"society, the world, the times"
世間,せけん,"world, society"
正午,しょうご,"noon, mid-day"
生地,きじ,"① cloth, material, texture ② one's true character ③ unglazed pottery ④ uncooked dough, batter"
青年,せいねん,"youth, young man"
切れる,きれる,"① to cut well, to be sharp ② to break (off), to snap, to wear out ③ to be injured ④ to burst, to collapse ⑤ to be disconnected, to be out of, to expire, to sever (connections) with ⑥ to be shrewd, to have a sharp mind ⑦ to drop under (a certain figure), to beat (e.g. a time) ⑧ to flip, to lose one's temper ⑨ to be able to do completely"
先ず,まず,"① first (of all), to start with, about, almost, anyway, well, now ② hardly (with neg. verb)"
前者,ぜんしゃ,the former
足る,たる,"to be sufficient, to be enough, to be worthy of"
多少,たしょう,"more or less, somewhat, a little, some"
体重,たいじゅう,body weight (usu. one's own)
貸し,かし,"loan, lending"
代金,だいきん,"price, payment, cost, charge, the money, the bill"
代理,だいり,"representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
台,だい,"① stand, rack, table ② support ③ belt ④ counter for machines, incl. vehicles ⑤ setting (e.g. in jewellery)"
大家,おおや,"landlord, landlady"
大会,たいかい,"convention, tournament, mass meeting, rally"
大使,たいし,ambassador
題,だい,"① title, subject, theme, topic ② problem (on a test), question ③ counter for questions (on a test)"
知事,ちじ,prefectural governor
地,ち,"① earth, ground, land, soil ② place ③ territory ④ bottom (of a package, book, etc.) ⑤ earth (one of the five elements)"
地下,ちか,"① basement, cellar, underground place ② underground, below ground ③ secret, under cover"
地方,ちほう,"① area, locality, district, region, province ② countryside, rural area ③ coast (esp. as seen from the water) ④ person singing ballads in Noh, person in charge of music in a Japanese dance performance"
中止,ちゅうし,"suspension, stoppage, discontinuance, interruption"
中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
注文,ちゅうもん,"order, request"
注目,ちゅうもく,"notice, attention, observation"
度,たび,"time (three times, each time, etc.), times"
土地,とち,"plot of land, lot, soil"
動かす,うごかす,"① to move, to shift, to operate, to set in motion, to mobilize, to mobilise ② to inspire, to rouse, to move (e.g. feeling), to influence ③ to deny, to change"
動作,どうさ,"action, movements, motions, bearing, behaviour, behavior, execution, actuation, operation, manners"
同一,どういつ,"identity, sameness, similarity, equality, fairness"
特急,とっきゅう,"① limited express (train, faster than an express) ② great hurry"
入場,にゅうじょう,"entrance, admission, entering"
年代,ねんだい,"age, era, period, date"
売れる,うれる,"① to sell (well) ② to be well known, to be popular, to be famous"
発,はつ,"① departure, departing (from ...), departing (at time ...) ② beginning ③ issued by (e.g. document) ④ counter for gunshots, counter for blows (punches)"
発見,はっけん,"discovery, detection, finding"
発行,はっこう,"① issue (publications), publishing ② raising an event (software)"
病,やまい,"illness, disease"
不安,ふあん,"anxiety, uneasiness, insecurity, suspense"
不運,ふうん,"unlucky, misfortune, bad luck, fate"
不正,ふせい,"injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud"
不足,ふそく,"insufficiency, shortage, deficiency, lack, dearth"
父親,ちちおや,father
分野,ぶんや,"field, sphere, realm, division, branch"
文,ぶん,"sentence, text"
文字,もじ,"① letter (of alphabet), character ② literal"
別れ,わかれ,"parting, separation, farewell, (lateral) branch, fork, offshoot, division, section"
歩道,ほどう,"footpath, walkway, sidewalk"
母親,ははおや,mother
味わう,あじわう,"to taste, to savor, to relish"
味方,みかた,"friend, ally, supporter"
目立つ,めだつ,"to be conspicuous, to stand out"
野,の,"① plain, field ② hidden (structural) member ③ wild ④ lacking a political post"
有料,ゆうりょう,"toll, fee, charge, admission-paid"
用いる,もちいる,"to use, to make use of"
用心,ようじん,"care, precaution, guarding, caution"
立ち止まる,たちどまる,"to stop, to halt, to stand still"
立ち上がる,たちあがる,"① to stand up, to get up ② to rise ③ to recover ④ to take action, to start ⑤ to make the initial charge (in sumo)"
立場,たちば,"standpoint, position, situation"
旅,たび,"travel, trip, journey"
料金,りょうきん,"fee, charge, fare"
力,りょく,"strength, power"
話題,わだい,"topic, subject"
一家,いっか,"a house, a home, a family, a household, one's family, one's folks, a style"
姉妹,しまい,sisters
主人,しゅじん,"① head (of a household), proprietor (of a store), proprietress, landlord, landlady ② one's husband ③ (one's) employer, (one's) master ④ host, hostess"
少女,しょうじょ,"young lady, little girl, virgin, maiden, daughter"
注ぐ,そそぐ,"① to pour (into), to fill ② to sprinkle on from above, to shed (e.g. tears) ③ to concentrate one's spirit or strength on ④ to fall onto (of rain, snow)"
転ぶ,ころぶ,"to fall down, to fall over"
空く,すく,"① to become less crowded, to thin out, to get empty ② to be hungry"
足元,あしもと,"① at one's feet, underfoot ② gait, pace, step ③ you, thou"
言う,ゆう,① to say ② to call (i.e. to give a name)
思い出,おもいで,"memories, recollections, reminiscence"
少々,しょうしょう,"just a minute, small quantity"
銀,ぎん,"① silver, silver coin, silver paint ② silver general (shogi)"
少なくとも,すくなくとも,at least
建つ,たつ,"to be erected, to be built"
出会う,であう,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date"
計る,はかる,"① to measure, to weigh, to survey, to time (sound, gauge, estimate) ② to conjecture, to infer, to surmise"
昼食,ちゅうしょく,"① lunch, midday meal ② food served at a tea party (tea ceremony)"
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around, to fill (e.g. a space)"
広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll"
お昼,おひる,"lunch, noon"
不,ふ,"un-, non-, negative prefix"
者,しゃ,"someone of that nature, someone doing that work"
元,もと,"former, ex-"
安定,あんてい,"stability, equilibrium"
委員,いいん,committee member
易い,やすい,easy
育つ,そだつ,"to be raised (e.g. child), to be brought up, to grow (up)"
一流,いちりゅう,"first-class, top grade, school (of art), foremost, top-notch, unique"
引退,いんたい,retire
羽,はね,"① feather, plume, wing ② blade (fan, propeller, etc.)"
営業,えいぎょう,"business, trade, sales, operations"
横切る,よこぎる,"to cross (e.g. road), to traverse"
横断,おうだん,① crossing ② transverse
王子,おうじ,prince
王様,おうさま,king
屋根,やね,roof
温度,おんど,temperature
化学,かがく,① chemistry ② chemical company (e.g. Acme Chemical Co.)
加える,くわえる,"to append, to sum up, to add (up), to include, to increase, to inflict"
加わる,くわわる,"to join in, to accede to, to increase, to gain in (influence)"
家具,かぐ,furniture
火曜,かよう,Tuesday
会合,かいごう,"① meeting, assembly ② association ③ (astronomical) conjunction"
会費,かいひ,membership fee
回す,まわす,"① to turn, to rotate, to gyrate ② to circulate, to send around ③ to surround ④ to put something to a new use (e.g. leftovers) ⑤ (after the -masu stem of a verb) ... around (i.e. to chase someone around) ⑥ to dial (e.g. telephone number)"
回転,かいてん,"rotation (usu. around something), revolution, turning"
絵画,かいが,"picture, painting"
外交,がいこう,diplomacy
確かめる,たしかめる,"to ascertain, to check, to make sure"
確実,かくじつ,"certainty, reliability, soundness"
学期,がっき,"school term, semester"
額,がく,① picture (framed) ② amount or sum (of money)
活気,かっき,"energy, liveliness"
活動,かつどう,"action, activity"
活用,かつよう,"① practical use, application ② conjugation, declension, inflection"
感じ,かんじ,"feeling, sense, impression"
感じる,かんじる,"to feel, to sense, to experience"
感情,かんじょう,"emotion, feeling, feelings, sentiment"
感心,かんしん,"admiration, Well done!"
感動,かんどう,"being deeply moved emotionally, excitement, passion, deep emotion, impression"
観客,かんきゃく,"audience, spectator, spectators"
観光,かんこう,sightseeing
丸,まる,"① circle ② full (e.g. month, day, etc.) ③ perfection, purity ④ suffix for ship names"
岸,きし,"bank, coast, shore"
岩,いわ,"rock, crag"
期間,きかん,"period, term, interval"
期待,きたい,"expectation, anticipation, hope"
気温,きおん,atmospheric temperature
記事,きじ,"article, news story, report, account"
記者,きしゃ,reporter
記入,きにゅう,"entry, filling in of forms"
記録,きろく,"① record, minutes, document ② a record (e.g. in sports), results, score ③ to record, to document ④ to set a record (e.g. in sports), to show a result, to reach a value"
逆,ぎゃく,"① reverse, opposite ② converse (of a hypothesis, etc.)"
逆らう,さからう,"to go against, to oppose, to disobey, to defy"
休息,きゅうそく,"rest, relief, relaxation"
急速,きゅうそく,rapid (e.g. progress)
求める,もとめる,"to seek, to request, to demand, to want, to wish for, to search for, to pursue (pleasure), to hunt (a job), to buy"
旧,きゅう,"ex-, former, old"
強調,きょうちょう,"emphasis, highlight, stress, stressed point"
教科書,きょうかしょ,"textbook, text book"
禁止,きんし,"prohibition, inhibition, ban"
金額,きんがく,amount of money
金庫,きんこ,"safe, vault, treasury, provider of funds"
金曜,きんよう,Friday
区別,くべつ,"distinction, differentiation, classification"
苦しい,くるしい,"painful, difficult"
苦しむ,くるしむ,"to suffer, to groan, to be worried"
苦手,にがて,"poor (at), weak (in), dislike (of)"
計算,けいさん,"① calculation, reckoning, count ② forecast"
欠ける,かける,"① to be chipped, to be damaged, to be broken ② to be lacking, to be missing ③ to be insufficient, to be short, to be deficient, to be negligent toward ④ (of the moon) to wane, to go into eclipse"
欠点,けってん,"faults, defect, weakness"
決心,けっしん,"determination, resolution"
決定,けってい,"decision, determination"
月曜,げつよう,Monday
県,けん,① prefecture (of Japan) ② county (of China)
言語,げんご,language
語る,かたる,"to talk, to tell, to recite"
公平,こうへい,"fairness, impartial, justice"
向く,むく,"① to face ② to turn toward ③ to be suited to, to be fit for"
向け,むけ,"intended for ..., oriented towards ..., aimed at ..."
向ける,むける,"to turn towards, to point"
幸い,さいわい,"happiness, blessedness"
幸福,こうふく,"happiness, blessedness"
高速,こうそく,"① high speed, high gear ② highway, freeway, expressway, motorway"
号,ごう,"① number, edition, make, model, issue, part of that group ② sobriquet, pen-name"
